OI;;41132718;PROTASIO DE CARVALHO C E E FUND MEDIO;CURITIBA;PR
OI;;41132734;ESCOLA MUNICIPAL CEI RAOUL WALLENBER;CURITIBA;PR
OI;;41132750;ESCOLA MUNICIPAL RAUL GELBECK;CURITIBA;PR
OI;30/12/2008;41132947;;CURITIBA;PR
OI;30/12/2008;41132998;;CURITIBA;PR
OI;30/12/2008;41133030;;CURITIBA;PR
OI;30/12/2008;41133099;;CURITIBA;PR
OI;30/12/2008;41133331;ESCOLA MUNICIPAL SAO MATEUS DO SUL - EDUCACAO INFANTIL;;PR
OI;30/12/2008;41133650;;CURITIBA;PR
OI;30/12/2008;41133668;;CURITIBA;PR
OI;30/12/2008;41133749;;CURITIBA;PR
OI;30/12/2008;41133811;;CURITIBA;PR
OI;01/12/2010;41133854;;CURITIBA;PR
OI;30/12/2008;41134168;;CURITIBA;PR
OI;30/12/2008;41134176;;CURITIBA;PR
OI;30/12/2008;41134290;;;PR
OI;30/12/2009;41134389;;CURITIBA;PR
;30/12/2008;41134397;;CURITIBA;PR
OI;30/12/2008;41134419;;CURITIBA;PR
OI;30/12/2008;41137345;ANTONIO NUNES DA R RIOS E M ED I E FUND;;PR
OI;30/12/2008;41137485;CELESTINA S FOGGIATTO E M ED INF E FUND;;PR
OI;30/12/2008;41137507;CLODOALDO NAUMANN, E M - ED INF E FUND;;PR
OI;30/12/2009;41137515;LINDAURA R LUCAS C E PROF E FUND MEDIO;;PR
OI;30/12/2008;41137647;ELVIRA P CARRANO E M PROFA E INF E FUND;;PR
OI;30/12/2009;41137663;ERNESTINA M DE S CORTES E M PFA E I E F;;PR
OI;30/12/2008;41137736;EUNICE BORGES DA ROCHA C E E FUND MEDIO;;PR
OI;30/12/2008;41137744;EZALTINA C MEIGA E M PROFA E INF E FUND;;PR
OI;30/12/2008;41137795;GENOVEVA S DE BRITO E M PROFA E I E FUN;;PR
OI;30/12/2008;41138139;OLIVIA NOGUEIRA E M PROFA ED INF E FUND;;PR
OI;30/12/2008;41140400;;PARANAGUA;PR
OI;30/12/2008;41140583;;PARANAGUA;PR
OI;30/12/2009;41140699;;PARANAGUA;PR
OI;30/12/2008;41141172;;PARANAGUA;PR
OI;01/09/2010;41146131;;CURITIBA;PR
OI;30/12/2008;41146174;;CURITIBA;PR
OI;30/12/2008;41146182;;CURITIBA;PR
OI;30/12/2008;41146190;;CURITIBA;PR
OI;30/12/2009;41146204;;CURITIBA;PR
OI;30/12/2008;41146735;LECI CALDEIRA SCHERNER E M PROFA E FUND;;PR
OI;08/01/2013;41147251;;;PR
OI;10/01/2013;41147383;;;PR
OI;04/09/2014;41149386;;CURITIBA;PR
OI;10/09/2015;41150880;;CURITIBA;PR
OI;09/03/2016;41151313;;CURITIBA;PR
OI;29/10/2015;41151321;;CURITIBA;PR
OI;01/09/2010;41353919;CEEBJA PROFA ALCI A C STEUERNAGEL E FUND;;PR
OI;;41354117;ALCINDO DE FRANCA PACHECO E M E I E F;GUARAPUAVA;PR
OI;01/09/2010;41354257;ESCOLA MUNICIPAL DE EDUCACAO ESPECIAL ELIS DE FATIMA ZEM;;PR
OI;;41354532;SILVESTRE MARQUES E M PROF E I E FUND;JACAREZINHO;PR
OI;;41355385;LUIZ ANTONIO A DE PINHO E M E INF E FUN;PONTAL DO PARANA;PR
OI;;41355407;CEEBJA ELIAS ABRAHAO E FUND MED;ENGENHEIRO BELTRAO;PR
OI;;41355547;ANTONIO LOPES JUNIOR E E E FUND;IRATI;PR
OI;;41356837;IEDA BAGGIO MAYER C E E FUND MEDIO;CASCAVEL;PR
OI;;41356896;WALQUIRIA C XAVIER DA SILVA E M E I E F;JAGUARIAIVA;PR
OI;30/12/2008;41357019;;PARANAGUA;PR
OI;;41357264;CEEBJA UNIAO DA VITORIA E FUND MEDIO;UNIAO DA VITORIA;PR
OI;;41357272;CEEBJA CORNELIO PROCOPIO ENS FUN E MED;CORNELIO PROCOPIO;PR
OI;01/09/2010;41357396;CEEBJA SAO MIGUEL DO IGUACU ENS FUND MED;;PR
OI;01/09/2010;41357612;CEEBJA SANTO ANTONIO DO SUDOESTE E F E M;;PR
OI;30/12/2008;41358830;;CURITIBA;PR
OI;30/12/2008;41358848;;CURITIBA;PR
OI;30/12/2008;41358856;;CURITIBA;PR
OI;30/12/2009;41358864;;CURITIBA;PR
OI;30/12/2008;41360893;LEVINO JORGE WEIDMANN E M ED INF E FUND;;PR
OI;30/12/2009;41362039;;;PR
OI;30/12/2008;41372700;;CURITIBA;PR
OI;01/09/2010;41372808;;CAMPO LARGO;PR
OI;30/12/2009;41372867;;CURITIBA;PR
OI;30/12/2008;41372875;ESCOLA MUNICIPAL POETA JOAO CABRAL DE MELO NETO-EIEF;;PR
OI;23/12/2011;42006236;ESC BASICA MUN ALVIM DUARTE DA SILVA;;SC
OI;31/03/2011;42006368;ESCOLA BASICA MUNICIPAL VILA SANTANA;;SC
OI;30/12/2008;42006384;EB MUN PROFª JUDITE ADELINA SCHURHAUS;;SC
OI;;42014280;EEF VINCENZO DE VILLA;URUSSANGA;SC
OI;;42014379;EEF PROF EMILIA MAMEDE SOARES;LAURO MULLER;SC
OI;;42014387;EEF PROF LIGIA CHAVES CABRAL;LAURO MULLER;SC
OI;;42014417;EEF PROF JOSE HELEODORO B JUNIOR;LAURO MULLER;SC
OI;;42014522;E M QUILOMETRO I;LAURO MULLER;SC
OI;;42015677;EBM FRANCISCO LANSER;BLUMENAU;SC
OI;;42015685;EBM HENRIQUE ALFARTH;BLUMENAU;SC
OI;;42015693;EEB HERCILIO DEEKE;BLUMENAU;SC
